x_local,y_local,utm_e,utm_n,lon,lat,rl
183.653,141.969,706290.580,953859.870,76.8746220,8.6246384,69.879
183.893,169.829,706290.820,953887.730,76.8746255,8.6248902,70.419
184.093,217.659,706291.020,953935.560,76.8746294,8.6253226,71.537
184.183,328.439,706291.110,954046.340,76.8746352,8.6263241,85.757
184.353,164.419,706291.280,953882.320,76.8746294,8.6248413,70.272
184.363,157.429,706291.290,953875.330,76.8746292,8.6247781,70.438
184.563,87.009,706291.490,953804.910,76.8746279,8.6241415,68.866
184.583,304.979,706291.510,954022.880,76.8746378,8.6261120,81.040
184.813,174.749,706291.740,953892.650,76.8746340,8.6249347,70.543
184.983,313.189,706291.910,954031.090,76.8746418,8.6261862,79.837
185.023,340.279,706291.950,954058.180,76.8746433,8.6264311,82.741
185.283,285.259,706292.210,954003.160,76.8746432,8.6259337,75.549
185.313,101.159,706292.240,953819.060,76.8746353,8.6242693,69.216
185.723,179.659,706292.650,953897.560,76.8746425,8.6249790,70.667
185.733,292.769,706292.660,954010.670,76.8746477,8.6260016,75.604
185.793,231.369,706292.720,953949.270,76.8746455,8.6254465,71.520
185.923,333.949,706292.850,954051.850,76.8746512,8.6263738,85.676
185.993,272.019,706292.920,953989.920,76.8746491,8.6258140,72.570
186.013,285.019,706292.940,954002.920,76.8746499,8.6259315,75.301
186.033,323.099,706292.960,954041.000,76.8746517,8.6262757,81.230
186.193,281.569,706293.120,953999.470,76.8746513,8.6259003,74.355
186.603,316.369,706293.530,954034.270,76.8746566,8.6262149,78.726
187.003,258.889,706293.930,953976.790,76.8746577,8.6256952,71.720
187.003,307.889,706293.930,954025.790,76.8746599,8.6261382,81.132
187.283,83.619,706294.210,953801.520,76.8746524,8.6241107,68.830
187.343,223.219,706294.270,953941.120,76.8746592,8.6253727,71.866
187.433,441.789,706294.360,954159.690,76.8746698,8.6273487,87.785
187.443,441.789,706294.370,954159.690,76.8746698,8.6273487,87.185
187.543,199.499,706294.470,953917.400,76.8746600,8.6251583,70.905
187.543,300.869,706294.470,954018.770,76.8746645,8.6260747,75.850
187.593,303.929,706294.520,954021.830,76.8746651,8.6261024,80.931
187.713,329.009,706294.640,954046.910,76.8746673,8.6263291,81.287
187.713,442.379,706294.640,954160.280,76.8746723,8.6273540,86.620
187.943,145.309,706294.870,953863.210,76.8746612,8.6246684,70.853
188.013,286.749,706294.940,954004.650,76.8746681,8.6259470,75.279
188.093,184.979,706295.020,953902.880,76.8746643,8.6250270,70.791
188.113,254.949,706295.040,953972.850,76.8746676,8.6256595,71.829
188.123,319.869,706295.050,954037.770,76.8746706,8.6262464,78.630
188.183,264.899,706295.110,953982.800,76.8746687,8.6257495,71.762
188.373,283.549,706295.300,954001.450,76.8746712,8.6259181,75.062
188.493,425.599,706295.420,954143.500,76.8746787,8.6272023,87.786
188.703,337.289,706295.630,954055.190,76.8746766,8.6264039,81.851
188.733,85.489,706295.660,953803.390,76.8746657,8.6241275,68.855
188.863,151.629,706295.790,953869.530,76.8746698,8.6247255,70.532
188.923,310.839,706295.850,954028.740,76.8746775,8.6261648,78.490
189.073,444.139,706296.000,954162.040,76.8746848,8.6273699,85.985
189.153,268.459,706296.080,953986.360,76.8746777,8.6257816,71.984
189.333,145.299,706296.260,953863.200,76.8746738,8.6246682,70.774
189.503,443.109,706296.430,954161.010,76.8746886,8.6273605,86.275
189.533,188.339,706296.460,953906.240,76.8746775,8.6250573,70.931
189.613,274.809,706296.540,953992.710,76.8746821,8.6258390,72.718
189.703,459.269,706296.630,954177.170,76.8746912,8.6275066,84.294
189.763,445.069,706296.690,954162.970,76.8746911,8.6273782,86.229
189.803,255.699,706296.730,953973.600,76.8746830,8.6256662,72.242
189.803,271.539,706296.730,953989.440,76.8746837,8.6258094,71.799
189.823,460.679,706296.750,954178.580,76.8746923,8.6275193,83.599
189.863,271.569,706296.790,953989.470,76.8746842,8.6258097,71.937
189.873,435.779,706296.800,954153.680,76.8746917,8.6272942,86.134
190.063,262.559,706296.990,953980.460,76.8746857,8.6257283,71.675
190.153,91.919,706297.080,953809.820,76.8746789,8.6241856,69.203
190.153,443.479,706297.080,954161.380,76.8746945,8.6273638,86.047
190.163,119.669,706297.090,953837.570,76.8746802,8.6244365,69.516
190.203,292.649,706297.130,954010.550,76.8746883,8.6260003,75.488
190.283,324.639,706297.210,954042.540,76.8746904,8.6262895,78.709
190.363,455.949,706297.290,954173.850,76.8746970,8.6274766,84.943
190.383,149.589,706297.310,953867.490,76.8746835,8.6247069,70.727
190.483,445.949,706297.410,954163.850,76.8746976,8.6273862,85.688
190.533,305.959,706297.460,954023.860,76.8746919,8.6261206,80.898
190.593,459.399,706297.520,954177.300,76.8746992,8.6275077,84.224
190.653,125.619,706297.580,953843.520,76.8746849,8.6244902,69.487
190.703,161.499,706297.630,953879.400,76.8746870,8.6248146,70.499
190.773,161.539,706297.700,953879.440,76.8746876,8.6248150,70.435
190.823,460.829,706297.750,954178.730,76.8747014,8.6275207,83.584
190.853,107.649,706297.780,953825.550,76.8746859,8.6243278,69.384
190.853,427.139,706297.780,954145.040,76.8747002,8.6272161,85.909
190.853,438.809,706297.780,954156.710,76.8747007,8.6273216,86.311
190.873,284.249,706297.800,954002.150,76.8746940,8.6259243,75.195
